一 g
砚 dmq
砰 dgu
破 dhc
砸 damh
砾 dqi
础 dbm
硅 dff
硕 ddm
硝 die
硫 dyc
硬 dgj
确 dqe
硼 dee
碉 dmf
碌 dvi
碍 djg
碎 dyw
碑 drt
碗 dpq
碘 dma
碟 dan
碧 grd
碰 duo
碱 ddg
碳 dmd
碴 dsj
碾 dna
磁 du
磅 dup
磕 dfc
磨 yssd
磷 doq
磺 dam
礁 dwy
示 fi
礼 pynn
社 py
祈 pyr
祖 pye
祝 pyk
神 pyj
祟 bmf
祠 pynk
祥 pyu
票 sfiu
祭 wfi
祷 pyd
祸 pykw
禀 ylki
禁 ssf
福 pyg
离 yb
禽 wyb
禾 ttt
秀 te
私 tcy
秃 tmb
秆 tfh
秉 tgv
秋 to
种 tkh
科 tu
秒 ti
秕 txx
秘 tn
租 teg
秤 tgu
秦 dwt
秧 tmdy
秩 trw
秫 tsy
积 tkw
称 tq
秸 tfkg
移 tqq
秽 tmq
稀 tqd
程 tkgg
稍 tie
税 tuk
稚 twy
稠 tmfk
稳 tqv
稻 tev
稼 tpe
稽 tdnj
稿 tym
穆 tri
穗 tgjn
穴 pwu
究 pwv
穷 pwl
空 pw
穿 pwat
突 pwd
窃 pwav
窄 pwtf
窍 pwan
窑 pwr
窒 pwg
窖 pwtk
窗 pwt
窘 pwvk
窜 pwk
窝 pwkw
窟 pwn
窥 pwfq
窿 pwb
立 uu
竖 jcu
站 uh
竞 ukqb
竟 ujq
章 ujj
竣 ucw
童 ujff
竭 ujqn
端 umd
竹 ttg
竿 tfj
笆 tcb
笋 tvt
笑 ttd
笔 tt
笙 ttgf
笛 tmf
笤 tvk
符 twf
笨 tsg
第 tx
笼 tdx
等 tffu
筋 telb
筏 twa
筐 tag
筑 tam
筒 tmgk
答 tw
策 tgm
筛 tjgh
筝 tqvh
筷 tnn
筹 tdtf
签 twgi
简 tuj
箍 tra
箕 tad
算 tha
管 tp
箩 tlq
箫 tvij
箭 tue
箱 tsh
篇 tyna
篓 tov
篙 tymk
篡 thdc
篮 tjtl
篱 tyb
篷 ttdp
簇 tyt
簸 tadc
簿 tig
籍 tdij
米 oy
类 od
籽 ob
粉 ow
粒 oug
粗 oe
粘 oh
粟 sou
粤 tlo
粥 xox
粪 oawu
粮 oyv
粱 ivwo
粹 oyw
精 oge
糊 ode
糕 ougo
糖 oyvk
糙 otf
糜 ysso
糟 ogmj
糠 oyvi
糯 ofd
系 txi
紊 yxiu
素 gxi
索 fpx
紧 jc
紫 hxx
累 lx
絮 vkx
繁 txgi
纠 xnh
红 xa
纤 xtf
约 xq
级 xe
纪 xn
纫 xvy
纬 xfnh
纯 xgb
纱 xi
纲 xm
纳 xmw
纵 xww
纷 xwv
纸 xqa
纹 xyy
纺 xy
纽 xnf
线 xg
练 xan
组 xeg
绅 xjh
细 xl
织 xkw
终 xtu
绊 xuf
绍 xvk
绎 xcf
经 x
绑 xdt
绒 xad
结 xf
绕 xat
绘 xwf
给 xw
络 xtk
绝 xqc
绞 xuq
统 xyc
绢 xke
绣 xten
继 xo
绩 xgm
绪 xft
续 xfn
绰 xhj
绳 xkjn
维 xwy
绵 xr
绷 xee
绸 xmf
综 xp
绽 xpg
绿 xv
缀 xcc
缅 xdmd
缆 xjt
缎 xwd
缓 xef
缔 xup
缕 xov
编 xyna
缘 xxe
缚 xge
缝 xtdp
缠 xyj
缤 xpr
缨 xmm
缩 xpw
缭 xdu
缰 xgl
缴 xry
缸 rma
缺 rmn
罐 rmay
网 mqq
罕 pwf
罗 lq
罚 ly
罢 lfc
罩 lhj
罪 ldj
置 lfhf
署 lftj
羊 udj
美 ugdu
羔 ugo
羞 udn
羡 ugu
群 vtk
羹 ugod
羽 nny
翁 wcn
翅 fcn
翎 wycn
翔 udng
翘 atgn
翠 nywf
翩 ynmn
翰 fjw
翻 toln
翼 nla
耀 iqny
老 ftx
考 ftg
者 ftj
而 dmj
耍 dmjv
耐 dmjf
耕 dif
耗 ditn
耘 difc
耙 dic
耳 bgh
耸 wwb
耻 bh
耽 bpq
耿 bo
聂 bcc
聊 bqt
聋 dxb
职 bk
联 bu
聘 bmg
聚 bct
聪 bukn
肃 vij
肄 xtdh
肆 dv
肉 mww
肋 el
肌 em
肖 ie
肘 efy
肚 efg
肛 ea
肝 ef
肠 enr
股 emc
肢 efc
肤 efw
肥 ec
肩 yned
肪 eyn
肮 eym
肯 he
育 yce
肴 qde
肺 egm
肾 jce
肿 ek
胀 eta
胁 elw
胃 le
胆 ej
背 uxe
胎 eck
胖 euf
胚 egi
胜 etg
胞 eqn
胡 de
胧 edx
胯 edf
胰 egx
胳 etk
胶 eu
胸 eq
能 ce
脂 ex
脆 eqd
脉 eyni
脊 iwe
脏 eyf
脐 eyj
脑 eyb
脓 epe
脖 efp
脚 efcb
脯 ege
脱 euk
脸 ew
脾 ert
腊 eaj
腋 eywy
腌 edjn
腐 ywfw
腔 epw
腕 epq
腥 ejt
腮 elny
腰 esv
腹 etj
腺 eri
腻 eaf
腾 eud
腿 eve
膀 eup
膊 egef
膏 ypk
膘 esf
膛 ei
膜 eajd
膝 esw
膨 efk
膳 eudk
臀 nawe
臂 nkue
臊 ekks
臣 ahn
自 thd
臭 thdu
至 gcf
致 gcft
臼 vth
舀 evf
舅 vl
舆 wfl
舌 tdd
舍 wfk
舒 wfkb
舔 tdgn
舞 rlg
舟 tei
航 tey
般 tem
舰 temq
舱 tew
舵 tepx
舶 ter
舷 teyx
船 temk
艇 tet
艘 tevc
良 yv
艰 cv
色 qc
艳 dhq
艺 anb
艾 aqu
节 ab
芋 agf
芍 aqy
芒 ayn
芙 afwu
芜 afqb
芝 ap
芥 awj
芦 aynr
芬 awv
芭 ac
芯 anu
花 awx
芳 ay
芹 arj
芽 aah
苇 afn
苍 awb
苏 alw
苔 ack
苗 alf
苛 as
苞 aqn
苟 aqkf
若 adk
苦 adf
苫 ahk
英 amd
苹 agu
茁 abm
茂 adn
范 aib
茄 alkf
茅 acbt
茉 ags
茎 aca
茧 aju
茫 aiy
茬 adhf
茴 alkf
茵 ald
茶 aws
茸 abf
荆 aga
草 ajj
荐 adh
荒 aynq
荔 all
荚 aguw
荞 atdj
荠 ayjj
荡 ain
荣 aps
荤 aplj
荧 apo
药 ax
荷 awsk
荸 afpb
莉 atj
莫 ajd
莱 ago
莲 alp
获 aqt
莹 apgy
莺 apq
莽 ada
菇 avd
菊 aqo
菌 alt
菜 ae
菠 aih
菩 auk
菱 afwt
菲 adj
萄 aqr
萌 aje
萍 aigh
萎 atv
萝 alq
萤 apj
营 apk
萧 avi
萨 abu
落 ait
著 aft
葛 ajq
葡 aqg
董 atg
葫 adef
葬 agq
葱 aqrn
葵 awg
蒂 aup
蒋 auq
蒙 apg
蒜 afi
蒲 aigy
蒸 abi
蒿 aym
蓄 ayx
蓉 apw
蓖 atl
蓝 ajt
蓬 atdp
蔑 aldt
蔓 ajl
蔗 aya
蔚 anf
蔫 agho
蔬 anh
蔼 ayj
蔽 aum
蕉 awy
蕊 ann
蕴 axj
蕾 aflf
薄 aig
薇 atm
薛 awnu
薪 aus
薯 alfj
藏 adnt
藐 aee
藕 adiy
藤 aeu
藻 aik
蘑 ays
蘸 asgo
虎 ha
虏 halv
虐 haa
虑 han
虚 hao
虫 jhny
虱 ntj
虹 ja
虽 kj
虾 jghy
蚀 qnj
蚁 jyq
蚂 jcg
蚊 jyy
蚌 jdh
蚓 jxh
蚕 gdj
蚜 jah
蚣 jwc
蚤 cyj
蚪 jufh
蚯 jrgg
蛀 jyg
蛆 jegg
蛇 jpx
蛉 jwyc
蛋 nhj
蛔 jlk
蛙 jff
蛛 jri
蛤 jw
蛮 yoj
蛹 jceh
蛾 jtr
蜀 lqj
蜂 jtd
蜈 jkg
蜒 jthp
蜓 jtfp
蜕 juk
蜗 jkm
蜘 jtdk
蜜 pntj
蜡 jaj
蜻 jgeg
蝇 jk
蝉 jujf
蝌 jtu
蝎 jjq
蝗 jr
蝙 jyna
蝠 jgkl
蝴 jde
蝶 jan
螃 jup
融 gkm
螟 jpj
螺 jlx
蟀 jyx
蟆 jajd
蟋 jto
蟹 qevj
蠕 jfdj
蠢 dwjj
血 tld
衅 tlu
行 tf
衍 tif
衔 tqf
街 tffh
衙 tgk
衡 tqdh
衣 ye
补 puh
表 ge
衩 puc
衫 pue
衬 puf
衰 ykge
衷 ykhe
袁 fke
袄 put
袋 waye
袍 puq
袒 pujg
袖 pum
袜 pug
被 puhc
袭 dxy
袱 puwd
裁 fay
裂 gqje
装 ufy
裆 puiv
裕 puw
裙 puvk
裤 puy
裳 ipke
裸 pujs
裹 yjse
褂 pufh
褐 pujn
褒 ywk
褥 pudf
褪 puvp
襟 pus
西 sghg
要 s
覆 stt
见 mqb
观 cm
规 fwm
觅 emq
视 pym
览 jtyq
觉 ipmq
角 qe
解 qev
触 qejy
言 yyy
誉 iwyf
誊 udyf
誓 rryf
警 aqky
譬 nkuy
计 yf
订 ys
认 yw
讥 ymn
讨 yfy
让 yh
训 yk
议 yyq
讯 ynf
记 yn
讲 yfj
讳 yfnh
讶 yah
许 ytf
讹 ywxn
论 ywx
讼 ywc
讽 ymq
设 ymc
访 yyn
诀 ynwy
证 ygh
评 ygu
诅 yeg
识 ykw
诈 yth
诉 yr
诊 ywe
词 yngk
译 ycf
试 yaa
诗 yff
诚 ydn
话 ytd
诞 ythp
诡 yqd
询 yqj
该 yynw
详 yud
诫 yaah
诬 yaw
语 ygk
误 ykg
诱 yte
诲 ytx
说 yu
诵 yceh
请 yge
诸 yft
诺 yad
读 yfn
诽 ydj
课 yjs
谁 ywyg
调 ymf
谅 yyi
谆 yybg
谈 yoo
谊 ype
谋 yaf
谍 yan
谎 yay
谐 yxxr
谒 yjq
谓 yle
谚 yut
谜 yopy
谢 ytm
谣 yer
谤 yup
谦 yuv
谨 yak
谬 ynwe
谭 ysj
谱 yuo
谴 ykhp
谷 wwk
豁 pdhk
豆 gku
豌 gkub
象 qje
豪 ypeu
豫 cbq
豹 eeqy
豺 eef
貌 eerq
贝 mhny
贞 hm
负 qm
贡 am
财 mf
责 gmu
贤 jcm
败 mty
账 mta
货 wxm
质 rfm
贩 mr
贪 wynm
贫 wvm
贬 mtp
购 mqc
贮 mpg
贯 xfm
贰 afm
贱 mgt
贴 mhkg
贵 khgm
贷 wam
贸 qyv
费 xjm
贺 lkm
贼 madt
贾 smu
贿 mde
赁 wtfm
赂 mtk
赃 myf
资 uqwm
赊 mwf
赋 mga
赌 mftj
赎 mfn
赏 ipkm
赐 mjq
赔 muk
赖 gkim
赘 gqtm
赚 muv
赛 pfjm
赞 tfqm
赠 mu
赡 mqd
赢 ynky
赤 fo
赦 fot
赫 fof
走 fhu
赴 fhh
赵 fhq
赶 fhfk
起 fhn
趁 fhwe
超 fhv
越 fha
趋 fhqv
趟 fhi
趣 fhb
足 khu
趴 khw
趾 khh
跃 khtd
跋 khdc
跌 khr
跑 khq
跛 khhc
距 kha
跟 khv
跨 khd
跪 khqb
路 kht
跳 khi
践 khg
跷 khaq
跺 khm
踊 khc
踏 khij
踢 khj
踩 khes
踪 khp
踱 khyc
蹂 khcs
蹄 khuh
蹈 khev
蹋 khjn
蹦 khme
蹬 khwu
蹭 khuj
蹲 khuf
躁 khks
躏 khay
身 tmd
躬 tmdx
躯 tmdq
躲 tmds
躺 tmdk
车 lg
轧 lnn
轨 lv
轩 lf
转 lfn
轮 lwx
软 lqw
轰 lcc
轴 lm
轻 lc
载 fa
轿 ltd
较 lu
辅 lgey
辆 lgm
辈 djdl
辉 iqpl
辐 lgk
辑 lkb
输 lwg
辕 lfk
辖 lpdk
辙 lyc
辛 uygh
辜 duj
辞 tduh
辟 nku
辣 ugk
辨 uyt
辩 uyu
辫 uxu
辰 dfe
辱 dfef
边 lp
辽 bp
达 dp
迁 tfp
迂 gfp
迄 tnp
迅 nfp
过 fp
迈 dnp
迎 qbp
运 fcp
近 rp
返 rcp
还 gip
这 p
进 fj
远 fqp
违 fnhp
连 lpk
迟 nyp
迫 rpd
述 syp
迷 op
迹 yop
追 wnnp
退 vep
送 udp
适 tdp
逃 iqp
逆 ubt
选 tfqp
逊 bip
透 tep
逐 epi
递 uxhp
途 wtp
逗 gkup
通 cep
逛 qtgp
逝 rrp
逞 kgp
速 gkip
造 tfkp
逢 tdh
逮 vip
逸 qkqp
逻 lqp
逼 gklp
逾 wgep
遂 uep
遇 jm
遍 ynm
遏 jqwp
道 uthp
遗 khgp
遣 khgp
遥 er
遭 gmap
遮 yaop
遵 usgp
避 nk
邀 rytp
邑 kcb
邓 cb
邢 gab
那 vfb
邦 dtbh
邪 ahtb
邮 mb
邻 wycb
郁 deb
郊 uqb
郎 yvcb
郑 udb
部 uk
郭 ybb
都 ftjb
鄙 kfl
酌 sgq
配 sgn
酒 isgg
酗 sgqb
酝 sgf
酣 sgaf
酥 sgty
酪 sgtk
酬 sgyh
酱 uqsg
酵 sgfb
酷 sgtk
酸 sgc
酿 sgye
醇 sgyb
醉 sgy
醋 sga
醒 sgj
采 es
释 toc
里 jfd
重 tgj
野 jfc
量 jg
金 qqqq
鉴 jtyq
针 qf
钉 qs
钓 qqyy
钙 qgh
钝 qgbn
钞 qit
钟 qkhh
钠 qmw
钢 qmq
钥 qeg
钦 qqw
钧 qqug
钩 qqc
钮 qnf
钱 qg
钳 qaf
钻 qhk
钾 qlh
铁 qr
铃 qwyc
铅 qmk
铆 qqt
铐 qftn
铛 qiv
铜 qmgk
铝 qkk
铡 qmj
铣 qtfq
铭 qqk
铲 qut
银 qve
铸 qdt
铺 qge
链 qlp
销 qie
锁 qim
锄 qegl
锅 qkm
锈 qten
锉 qww
锋 qtd
锌 quh
锐 quk
错 qaj
锚 qal
锡 qjq
锣 qlq
锤 qtgf
锥 qwy
锦 qrm
锨 qrq
锭 qp
键 qvfp
锯 qnd
锰 qbl
锹 qto
锻 qwd
镀 qya
镇 qfhw
镊 qbc
镐 qym
镜 quj
镣 qdu
镰 qyuo
镶 qyk
长 ta
门 uyh
闪 uw
闭 uft
问 ukd
闯 ucd
闰 ug
闲 usi
间 uj
闷 uni
闸 ulk
闹 uym
闺 uffd
闻 ub
闽 uji
阀 uwa
阁 utk
阅 uuk
阎 uqvd
阐 uuj
阔 uit
队 bw
阱 bfj
防 by
阳 bj
阴 be
阵 bl
阶 bwj
阻 begg
阿 bs
附 bwf
际 bf
陆 bfm
陈 ba
陋 bgm
陌 bdj
降 bt
限 bv
陕 bgu
陡 bfh
院 bpf
除 bwt
陨 bkm
险 bwg
陪 buk
陵 bfw
陶 bqr
陷 bqv
隅 bjm
隆 btg
随 bde
隐 bq
隔 bgk
隘 buw
隙 bij
障 buj
隧 bue
隶 vii
难 cw
雀 iwyf
雁 dww
雄 dcw
雅 ahty
集 wys
雇 ynwy
雌 hxw
雏 qvw
雕 mfky
雨 fghy
雪 fv
雳 fdlb
零 fwyc
雷 flf
雹 fqn
雾 ftl
需 fdm
震 fdf
霉 ftxu
霍 fwyf
霎 fuv
霜 fs
霞 fnhc
露 fkhk
霸 faf
霹 fnk
青 gef
靖 uge
静 geq
非 djd
靠 tfkd
靡 yssd
面 dm
革 af
靴 afwx
靶 afc
鞋 afff
鞍 afp
鞠 afq
鞭 afw
韧 fnhy
韩 fjfh
韭 djdg
音 ujf
韵 ujqu
页 dmu
顶 sdm
顷 xd
项 adm
顺 kd
须 ed
顽 fqd
顾 db
顿 gbnm
颁 wvd
颂 wcd
预 cbd
颅 hndm
领 wycm
颇 hcd
颈 cad
颊 guwm
频 hid
颓 tmdm
颖 xtd
颗 jsd
题 jghm
颜 utem
额 ptkm
颠 fhwm
颤 ylkm
风 mq
飒 umqy
飘 sfiq
飞 nui
食 wyv
餐 hq
饥 qnm
饭 qnr
饮 qnq
饰 qnth
饱 qnqn
饲 qnnk
饵 qnbg
饶 qna
饺 qnuq
饼 qnu
饿 qnt
馁 qne
馅 qnqv
馆 qnp
馋 qnqu
馍 qnad
馏 qnql
馒 qnjc
首 uth
香 tjf
马 cn
驮 cdy
驯 ckh
驰 cbn
驱 caq
驳 cqq
驴 cyn
驶 ckq
驹 cqk
驻 cy
驼 cp
驾 lkc
骂 kkc
骄 ctdj
骆 ctk
骇 cynw
验 cwg
骏 ccw
骑 cds
骗 cyna
骚 ccyj
骡 clx
骤 cbc
骨 me
髓 med
高 ym
鬓 depw
鬼 rqc
魁 rqcf
魂 fcr
魄 rrqc
魏 tvr
魔 yssc
鱼 qgf
鲁 qgj
鲜 qgu
鲤 qgjf
鲫 qgvb
鲸 qgy
鳄 qgkn
鳍 qgfj
鳖 umig
鳞 qgo
鸟 qyng
鸠 vqyg
鸡 cqy
鸣 kqy
鸥 aqqg
鸦 ahtg
鸭 lqy
鸯 mdq
鸳 qbq
鸵 qynx
鸽 wgkg
鸿 iaqg
鹃 keq
鹅 trng
鹉 gahg
鹊 ajqg
鹏 eeq
鹤 pwy
鹦 mmvg
鹰 ywwg
鹿 ynj
麦 gtu
麸 gqfw
麻 yss
黄 amw
黍 twi
黎 tqt
黑 lfo
黔 lfon
默 lfod
鼎 hnd
鼓 fkuc
鼠 vnu
鼻 thl
齐 yjj
齿 hwb
龄 hwbc
龙 dx
龟 qjn
